step,loss,logits_loss,aux_loss,lr
100,1.9869,1.9869,0.0,1e-05
200,2.0518,2.0518,0.0,1e-05
300,1.91,1.91,0.0,1e-05
400,2.1612,2.1612,0.0,1e-05
500,1.7724,1.7724,0.0,1e-05
600,1.8224,1.8224,0.0,1e-05
700,1.7304,1.7304,0.0,1e-05
800,1.7793,1.7793,0.0,1e-05
900,1.6856,1.6856,0.0,9.99e-06
1000,1.8978,1.8978,0.0,9.99e-06
1100,1.8671,1.8671,0.0,9.99e-06
1200,1.8852,1.8852,0.0,9.99e-06
1300,1.762,1.762,0.0,9.99e-06
1400,1.8422,1.8422,0.0,9.99e-06
1500,1.5986,1.5986,0.0,9.98e-06
1600,1.918,1.918,0.0,9.98e-06
1700,1.951,1.951,0.0,9.98e-06
1800,1.8772,1.8772,0.0,9.98e-06
1900,1.8641,1.8641,0.0,9.98e-06
2000,1.6769,1.6769,0.0,9.97e-06
2100,1.6439,1.6439,0.0,9.97e-06
2200,1.6084,1.6084,0.0,9.97e-06
2300,1.8106,1.8106,0.0,9.96e-06
2400,1.7567,1.7567,0.0,9.96e-06
2500,1.7213,1.7213,0.0,9.96e-06
2600,1.776,1.776,0.0,9.95e-06
2700,1.8209,1.8209,0.0,9.95e-06
2800,1.4486,1.4486,0.0,9.95e-06
2900,1.8406,1.8406,0.0,9.94e-06
3000,1.7899,1.7899,0.0,9.94e-06
3100,1.5839,1.5839,0.0,9.93e-06
3200,1.6291,1.6291,0.0,9.93e-06
3300,1.7795,1.7795,0.0,9.92e-06
3400,1.6255,1.6255,0.0,9.92e-06
3500,1.5737,1.5737,0.0,9.92e-06
3600,1.6238,1.6238,0.0,9.91e-06
3700,1.7066,1.7066,0.0,9.91e-06
3800,1.7827,1.7827,0.0,9.9e-06
3900,1.7603,1.7603,0.0,9.9e-06
4000,1.7328,1.7328,0.0,9.89e-06
4100,1.7429,1.7429,0.0,9.88e-06
4200,1.7185,1.7185,0.0,9.88e-06
4300,1.6494,1.6494,0.0,9.87e-06
