epoch,epochs_total,step,steps_total,loss,logits_loss,aux_loss,lr
1,1,100,56608,1.9869,1.9869,0.0,1e-05
1,1,200,56608,2.0518,2.0518,0.0,1e-05
1,1,300,56608,1.91,1.91,0.0,1e-05
1,1,400,56608,2.1612,2.1612,0.0,1e-05
1,1,500,56608,1.7724,1.7724,0.0,1e-05
1,1,600,56608,1.8224,1.8224,0.0,1e-05
1,1,700,56608,1.7304,1.7304,0.0,1e-05
1,1,800,56608,1.7793,1.7793,0.0,1e-05
1,1,900,56608,1.6856,1.6856,0.0,9.99e-06
1,1,1000,56608,1.8978,1.8978,0.0,9.99e-06
1,1,1100,56608,1.8671,1.8671,0.0,9.99e-06
1,1,1200,56608,1.8852,1.8852,0.0,9.99e-06
1,1,1300,56608,1.762,1.762,0.0,9.99e-06
1,1,1400,56608,1.8422,1.8422,0.0,9.99e-06
1,1,1500,56608,1.5986,1.5986,0.0,9.98e-06
1,1,1600,56608,1.918,1.918,0.0,9.98e-06
1,1,1700,56608,1.951,1.951,0.0,9.98e-06
1,1,1800,56608,1.8772,1.8772,0.0,9.98e-06
1,1,1900,56608,1.8641,1.8641,0.0,9.98e-06
1,1,2000,56608,1.6769,1.6769,0.0,9.97e-06
1,1,2100,56608,1.6439,1.6439,0.0,9.97e-06
1,1,2200,56608,1.6084,1.6084,0.0,9.97e-06
1,1,2300,56608,1.8106,1.8106,0.0,9.96e-06
1,1,2400,56608,1.7567,1.7567,0.0,9.96e-06
1,1,2500,56608,1.7213,1.7213,0.0,9.96e-06
1,1,2600,56608,1.776,1.776,0.0,9.95e-06
1,1,2700,56608,1.8209,1.8209,0.0,9.95e-06
1,1,2800,56608,1.4486,1.4486,0.0,9.95e-06
1,1,2900,56608,1.8406,1.8406,0.0,9.94e-06
1,1,3000,56608,1.7899,1.7899,0.0,9.94e-06
1,1,3100,56608,1.5839,1.5839,0.0,9.93e-06
1,1,3200,56608,1.6291,1.6291,0.0,9.93e-06
1,1,3300,56608,1.7795,1.7795,0.0,9.92e-06
1,1,3400,56608,1.6255,1.6255,0.0,9.92e-06
1,1,3500,56608,1.5737,1.5737,0.0,9.92e-06
1,1,3600,56608,1.6238,1.6238,0.0,9.91e-06
1,1,3700,56608,1.7066,1.7066,0.0,9.91e-06
1,1,3800,56608,1.7827,1.7827,0.0,9.9e-06
1,1,3900,56608,1.7603,1.7603,0.0,9.9e-06
1,1,4000,56608,1.7328,1.7328,0.0,9.89e-06
1,1,4100,56608,1.7429,1.7429,0.0,9.88e-06
1,1,4200,56608,1.7185,1.7185,0.0,9.88e-06
1,1,4300,56608,1.6494,1.6494,0.0,9.87e-06
1,1,4400,56608,1.4764,1.4764,0.0,9.87e-06
1,1,4500,56608,1.6993,1.6993,0.0,9.86e-06
1,1,4600,56608,1.8392,1.8392,0.0,9.85e-06
1,1,4700,56608,1.8693,1.8693,0.0,9.85e-06
1,1,4800,56608,1.6077,1.6077,0.0,9.84e-06
1,1,4900,56608,1.7874,1.7874,0.0,9.83e-06
1,1,5000,56608,1.7101,1.7101,0.0,9.83e-06
1,1,5100,56608,1.6554,1.6554,0.0,9.82e-06
1,1,5200,56608,1.5771,1.5771,0.0,9.81e-06
1,1,5300,56608,1.6339,1.6339,0.0,9.81e-06
1,1,5400,56608,1.6299,1.6299,0.0,9.8e-06
1,1,5500,56608,1.696,1.696,0.0,9.79e-06
1,1,5600,56608,1.7589,1.7589,0.0,9.78e-06
1,1,5700,56608,1.7717,1.7717,0.0,9.78e-06
1,1,5800,56608,1.6642,1.6642,0.0,9.77e-06
1,1,5900,56608,1.7509,1.7509,0.0,9.76e-06
1,1,6000,56608,1.5939,1.5939,0.0,9.75e-06
1,1,6100,56608,1.6751,1.6751,0.0,9.74e-06
1,1,6200,56608,1.654,1.654,0.0,9.74e-06
1,1,6300,56608,1.6545,1.6545,0.0,9.73e-06
1,1,6400,56608,1.7171,1.7171,0.0,9.72e-06
1,1,6500,56608,1.6834,1.6834,0.0,9.71e-06
1,1,6600,56608,1.8073,1.8073,0.0,9.7e-06
1,1,6700,56608,1.8852,1.8852,0.0,9.69e-06
1,1,6800,56608,1.8092,1.8092,0.0,9.68e-06
1,1,6900,56608,1.8024,1.8024,0.0,9.67e-06
1,1,7000,56608,1.6592,1.6592,0.0,9.66e-06
1,1,7100,56608,1.7168,1.7168,0.0,9.66e-06
1,1,7200,56608,1.5089,1.5089,0.0,9.65e-06
1,1,7300,56608,1.7043,1.7043,0.0,9.64e-06
1,1,7400,56608,1.8144,1.8144,0.0,9.63e-06
1,1,7500,56608,1.547,1.547,0.0,9.62e-06
1,1,7600,56608,1.8369,1.8369,0.0,9.61e-06
1,1,7700,56608,1.7271,1.7271,0.0,9.6e-06
1,1,7800,56608,1.6727,1.6727,0.0,9.58e-06
1,1,7900,56608,1.6482,1.6482,0.0,9.57e-06
1,1,8000,56608,1.6023,1.6023,0.0,9.56e-06
1,1,8100,56608,1.4761,1.4761,0.0,9.55e-06
1,1,8200,56608,1.5408,1.5408,0.0,9.54e-06
1,1,8300,56608,1.3284,1.3284,0.0,9.53e-06
1,1,8400,56608,1.7099,1.7099,0.0,9.52e-06
1,1,8500,56608,1.7853,1.7853,0.0,9.51e-06
1,1,8600,56608,1.7872,1.7872,0.0,9.5e-06
1,1,8700,56608,1.6358,1.6358,0.0,9.49e-06
1,1,8800,56608,1.7089,1.7089,0.0,9.47e-06
1,1,8900,56608,1.5639,1.5639,0.0,9.46e-06
1,1,9000,56608,1.7268,1.7268,0.0,9.45e-06
1,1,9100,56608,1.7623,1.7623,0.0,9.44e-06
1,1,9200,56608,1.6199,1.6199,0.0,9.43e-06
1,1,9300,56608,1.6562,1.6562,0.0,9.41e-06
1,1,9400,56608,1.8126,1.8126,0.0,9.4e-06
1,1,9500,56608,1.7713,1.7713,0.0,9.39e-06
1,1,9600,56608,1.7694,1.7694,0.0,9.38e-06
1,1,9700,56608,1.5732,1.5732,0.0,9.36e-06
1,1,9800,56608,1.7258,1.7258,0.0,9.35e-06
1,1,9900,56608,1.5986,1.5986,0.0,9.34e-06
1,1,10000,56608,1.7005,1.7005,0.0,9.32e-06
1,1,10100,56608,1.6721,1.6721,0.0,9.31e-06
1,1,10200,56608,1.6669,1.6669,0.0,9.3e-06
1,1,10300,56608,1.5587,1.5587,0.0,9.28e-06
1,1,10400,56608,1.809,1.809,0.0,9.27e-06
1,1,10500,56608,1.8154,1.8154,0.0,9.26e-06
1,1,10600,56608,1.6435,1.6435,0.0,9.24e-06
1,1,10700,56608,1.5994,1.5994,0.0,9.23e-06
1,1,10800,56608,1.6022,1.6022,0.0,9.22e-06
1,1,10900,56608,1.7504,1.7504,0.0,9.2e-06
1,1,11000,56608,1.6577,1.6577,0.0,9.19e-06
1,1,11100,56608,1.6836,1.6836,0.0,9.17e-06
1,1,11200,56608,1.6022,1.6022,0.0,9.16e-06
1,1,11300,56608,1.6372,1.6372,0.0,9.14e-06
1,1,11400,56608,1.6918,1.6918,0.0,9.13e-06
1,1,11500,56608,1.8571,1.8571,0.0,9.11e-06
1,1,11600,56608,1.3383,1.3383,0.0,9.1e-06
1,1,11700,56608,1.7197,1.7197,0.0,9.08e-06
1,1,11800,56608,1.604,1.604,0.0,9.07e-06
1,1,11900,56608,1.7674,1.7674,0.0,9.05e-06
1,1,12000,56608,1.4955,1.4955,0.0,9.04e-06
1,1,12100,56608,1.8271,1.8271,0.0,9.02e-06
