time_utc,util_pct,vram_mb
1788594530,0, 0
1788594540,0, 0
1788594550,63, 19811
1788594560,0, 21859
1788594570,69, 22497
1788594580,70, 22631
1788594590,69, 22751
1788594601,69, 22751
1788594611,69, 22753
1788594621,68, 22753
1788594631,67, 22753
1788594641,67, 22753
1788594651,66, 22753
1788594661,65, 22753
1788594671,65, 22753
1788594681,56, 22753
1788594691,70, 22753
1788594701,70, 22753
1788594711,69, 22753
1788594722,69, 22753
1788594732,69, 22753
1788594742,67, 22753
1788594752,69, 22753
1788594762,67, 22753
1788594772,66, 22753
1788594782,65, 22753
1788594792,65, 22753
1788594802,64, 22753
1788594812,74, 22753
1788594822,70, 22753
1788594833,70, 22753
1788594843,70, 22753
1788594853,69, 22753
1788594863,68, 22753
1788594873,68, 22753
1788594883,68, 22753
1788594893,67, 22753
1788594903,66, 22753
1788594913,66, 22753
1788594923,66, 22753
1788594933,64, 22753
1788594944,57, 22753
1788594954,71, 22753
1788594964,70, 22753
1788594974,70, 22753
1788594984,69, 22753
1788594994,69, 22753
1788595004,67, 22753
1788595014,68, 22753
1788595024,68, 22753
1788595034,66, 22753
1788595044,66, 22753
1788595054,65, 22753
1788595065,64, 22753
1788595075,49, 22753
1788595085,69, 22753
1788595095,69, 22753
1788595105,69, 22753
1788595115,69, 22753
1788595125,69, 22753
1788595135,68, 22753
1788595145,68, 22753
1788595155,67, 22753
1788595165,67, 22753
1788595175,65, 22753
1788595185,65, 22753
1788595195,64, 22753
1788595206,60, 22753
1788595216,70, 22753
1788595226,69, 22753
1788595236,68, 22753
1788595246,69, 22753
1788595256,68, 22753
1788595266,67, 22753
1788595276,67, 22753
1788595286,66, 22753
1788595297,66, 22753
1788595307,64, 22753
1788595317,63, 22753
1788595327,64, 22753
1788595337,73, 22753
1788595347,70, 22753
1788595357,70, 22753
1788595367,65, 22753
1788595377,68, 22753
1788595387,69, 22753
1788595397,68, 22753
1788595408,66, 22753
1788595418,68, 22753
1788595428,66, 22753
1788595438,66, 22753
1788595448,66, 22753
1788595458,65, 22753
1788595468,66, 22753
1788595478,71, 22753
1788595488,70, 22753
1788595498,69, 22753
1788595509,69, 22753
1788595519,68, 22753
1788595529,69, 22753
1788595539,66, 22753
1788595549,67, 22753
1788595559,68, 22753
1788595569,66, 22753
1788595579,67, 22753
1788595589,66, 22753
1788595599,64, 22753
1788595610,69, 22753
1788595620,71, 22753
1788595630,70, 22753
1788595640,69, 22753
1788595650,70, 22753
1788595660,66, 22753
1788595670,69, 22753
1788595680,68, 22753
1788595690,68, 22753
1788595700,63, 22753
1788595710,52, 22753
1788595720,65, 22753
1788595731,62, 22753
1788595741,50, 22753
1788595751,67, 22753
1788595761,70, 22753
1788595771,69, 22753
1788595781,69, 22753
1788595791,67, 22753
1788595801,66, 22753
1788595811,65, 22753
1788595821,64, 22753
1788595832,63, 22753
1788595842,66, 22753
1788595852,65, 22753
1788595862,69, 22753
1788595872,71, 22753
1788595882,71, 22753
1788595892,68, 22753
1788595902,70, 22753
1788595912,69, 22753
1788595922,65, 22753
1788595932,68, 22753
1788595942,65, 22753
1788595953,66, 22753
1788595963,65, 22753
1788595973,65, 22753
1788595983,57, 22753
1788595993,69, 22753
1788596003,71, 22753
1788596013,68, 22753
1788596023,71, 22753
1788596033,65, 22753
1788596043,63, 22753
1788596053,68, 22753
1788596063,69, 22753
1788596073,64, 22753
1788596084,65, 22753
1788596094,62, 22753
1788596104,56, 22753
1788596114,71, 22753
1788596124,70, 22753
1788596134,68, 22753
1788596144,70, 22753
1788596154,70, 22753
1788596164,62, 22753
1788596174,64, 22753
1788596184,67, 22753
1788596194,66, 22753
1788596204,61, 22753
1788596214,65, 22753
1788596225,68, 22753
1788596235,71, 22753
1788596245,69, 22753
1788596255,70, 22753
1788596265,68, 22753
1788596275,67, 22753
1788596285,68, 22753
1788596295,68, 22753
1788596305,67, 22753
1788596315,66, 22753
1788596325,66, 22753
1788596335,65, 22753
1788596345,55, 22753
1788596355,68, 22753
1788596366,66, 22753
1788596376,70, 22753
1788596386,66, 22753
1788596396,66, 22753
1788596406,69, 22753
1788596416,66, 22753
1788596426,67, 22753
1788596436,66, 22753
1788596446,64, 22753
1788596456,64, 22753
1788596466,42, 22753
1788596476,70, 22753
1788596486,71, 22753
1788596497,67, 22753
1788596507,66, 22753
1788596517,69, 22753
1788596527,68, 22753
1788596537,68, 22753
1788596547,68, 22753
1788596557,65, 22753
1788596567,66, 22753
1788596577,65, 22753
1788596587,55, 22753
1788596597,67, 22753
1788596607,67, 22753
1788596617,67, 22753
1788596628,70, 22753
1788596638,69, 22753
1788596648,68, 22753
1788596658,68, 22753
1788596668,67, 22753
1788596678,68, 22753
1788596688,67, 22753
1788596698,61, 22753
1788596708,54, 22753
1788596718,70, 22753
1788596728,67, 22753
1788596738,68, 22753
1788596748,69, 22753
1788596759,70, 22753
1788596769,69, 22753
1788596779,67, 22753
1788596789,68, 22753
1788596799,67, 22753
1788596809,67, 22753
1788596819,66, 22753
1788596829,63, 22753
1788596839,62, 22753
1788596849,71, 22753
1788596859,70, 22753
1788596869,70, 22753
1788596880,68, 22753
1788596890,69, 22753
1788596900,69, 22753
1788596910,62, 22753
1788596920,67, 22753
1788596930,66, 22753
1788596940,66, 22753
1788596950,62, 22753
1788596960,64, 22753
1788596970,49, 22753
1788596980,68, 22753
1788596990,70, 22753
1788597000,69, 22753
1788597010,69, 22753
1788597021,69, 22753
1788597031,69, 22753
1788597041,67, 22753
1788597051,66, 22753
1788597061,65, 22753
1788597071,68, 22753
1788597081,64, 22753
1788597091,69, 22753
1788597101,54, 22753
